,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent
0,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0
1,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0
2,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0
3,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0
4,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0
5,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0
6,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,1,0
7,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0
8,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0
9,1,2007-05-29,88,60,74.0,10.0,58,65,0.0,9.0,0421,1917,BR HZ,0.0,29.39,30.11,5.8,18.0,6.5,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0
